"DATA_LECTURA","DATA_EXTREM","CODI_ESTACIO","ACRÒNIM","VALOR"
2025-01-06,"11:03:00","X4","DVVX10",248
2025-01-06,NA,"X8","TM",13.7
2025-01-06,"12:42:00","X8","TX",18.4
2025-01-06,"23:59:00","X8","TN",10.2
2025-01-06,NA,"X8","HRM",66
2025-01-06,"21:35:00","X8","HRX",100
2025-01-06,"12:48:00","X8","HRN",48
2025-01-06,NA,"X8","PM",996.3
2025-01-06,"23:59:00","X8","PX",1000.7
2025-01-06,"13:37:00","X8","PN",993.9
2025-01-06,NA,"X8","PPT",0.1
2025-01-06,NA,"X8","RS24h",6.4
2025-01-06,NA,"X8","VVM10",1.8
2025-01-06,NA,"X8","DVM10",282
2025-01-06,"18:53:00","X8","VVX10",6.4
2025-01-06,"18:53:00","X8","DVVX10",326
2025-01-07,NA,"D5","TM",7.9
2025-01-07,"14:44:00","D5","TX",12.7
2025-01-07,"05:43:00","D5","TN",4.6
2025-01-07,NA,"D5","HRM",63
2025-01-07,"05:43:00","D5","HRX",80
2025-01-07,"14:52:00","D5","HRN",46
2025-01-07,NA,"D5","PM",966.3
2025-01-07,"21:15:00","D5","PX",968.9
2025-01-07,"00:07:00","D5","PN",961.7
2025-01-07,NA,"D5","PPT",0
2025-01-07,NA,"D5","RS24h",9.4
2025-01-07,NA,"D5","VVM10",6.3
2025-01-07,NA,"D5","DVM10",282
2025-01-07,"11:01:00","D5","VVX10",14.9
2025-01-07,"11:01:00","D5","DVVX10",316
2025-01-07,NA,"X4","TM",11.8
2025-01-07,"14:36:00","X4","TX",15.1
2025-01-07,"06:16:00","X4","TN",8.6
2025-01-07,NA,"X4","HRM",49
2025-01-07,"03:13:00","X4","HRX",64
2025-01-07,"15:03:00","X4","HRN",37
2025-01-07,NA,"X4","PM",1011.5
2025-01-07,"22:18:00","X4","PX",1013.7
2025-01-07,"00:01:00","X4","PN",1006.3
2025-01-07,NA,"X4","PPT",0
2025-01-07,NA,"X4","RS24h",9.7
2025-01-07,NA,"X4","VVM10",2.9
2025-01-07,NA,"X4","DVM10",277
2025-01-07,"12:21:00","X4","VVX10",11.3
2025-01-07,"12:21:00","X4","DVVX10",301
2025-01-07,NA,"X8","TM",10.8
2025-01-07,"14:37:00","X8","TX",14.7
2025-01-07,"05:30:00","X8","TN",7.8
2025-01-07,NA,"X8","HRM",52
2025-01-07,"02:06:00","X8","HRX",68
2025-01-07,"15:09:00","X8","HRN",38
2025-01-07,NA,"X8","PM",1005.7
2025-01-07,"22:17:00","X8","PX",1008.1
2025-01-07,"00:07:00","X8","PN",1000.7
2025-01-07,NA,"X8","PPT",0
2025-01-07,NA,"X8","RS24h",9.2
2025-01-07,NA,"X8","VVM10",3.4
2025-01-07,NA,"X8","DVM10",290
2025-01-07,"12:32:00","X8","VVX10",12.9
2025-01-07,"12:32:00","X8","DVVX10",305
2025-01-08,NA,"D5","TM",11.6
2025-01-08,"13:03:00","D5","TX",16.8
2025-01-08,"00:37:00","D5","TN",8.5
2025-01-08,NA,"D5","HRM",62
2025-01-08,"16:31:00","D5","HRX",74
2025-01-08,"14:55:00","D5","HRN",52
2025-01-08,NA,"D5","PM",966.3
2025-01-08,"09:47:00","D5","PX",968.2
2025-01-08,"20:55:00","D5","PN",964.2
2025-01-08,NA,"D5","PPT",0
2025-01-08,NA,"D5","RS24h",8.2
2025-01-08,NA,"D5","VVM10",3.9
2025-01-08,NA,"D5","DVM10",267
2025-01-08,"05:25:00","D5","VVX10",15.5
2025-01-08,"05:25:00","D5","DVVX10",321
2025-01-08,NA,"X4","TM",14.8
2025-01-08,"12:07:00","X4","TX",18.7
2025-01-08,"02:55:00","X4","TN",12
2025-01-08,NA,"X4","HRM",53
2025-01-08,"17:51:00","X4","HRX",69
2025-01-08,"23:50:00","X4","HRN",39
2025-01-08,NA,"X4","PM",1011
2025-01-08,"01:42:00","X4","PX",1013.5
2025-01-08,"20:06:00","X4","PN",1008.4
2025-01-08,NA,"X4","PPT",0
2025-01-08,NA,"X4","RS24h",8.3
2025-01-08,NA,"X4","VVM10",2.7
2025-01-08,NA,"X4","DVM10",257
2025-01-08,"10:33:00","X4","VVX10",12.5
2025-01-08,"10:33:00","X4","DVVX10",304
2025-01-08,NA,"X8","TM",14.2
2025-01-08,"13:50:00","X8","TX",19.2
2025-01-08,"03:41:00","X8","TN",11
2025-01-08,NA,"X8","HRM",55
2025-01-08,"16:38:00","X8","HRX",70
2025-01-08,"23:16:00","X8","HRN",43
2025-01-08,NA,"X8","PM",1005.4
2025-01-08,"01:16:00","X8","PX",1007.7
2025-01-08,"20:04:00","X8","PN",1002.8
2025-01-08,NA,"X8","PPT",0
2025-01-08,NA,"X8","RS24h",7.9
2025-01-08,NA,"X8","VVM10",2.9
2025-01-08,NA,"X8","DVM10",281
2025-01-08,"03:06:00","X8","VVX10",11.8
2025-01-08,"03:06:00","X8","DVVX10",273
2025-01-09,NA,"D5","TM",12.8
2025-01-09,"14:39:00","D5","TX",17.1
2025-01-09,"07:24:00","D5","TN",9.2
2025-01-09,NA,"D5","HRM",58
2025-01-09,"07:31:00","D5","HRX",73
2025-01-09,"13:47:00","D5","HRN",46
2025-01-09,NA,"D5","PM",967.2
2025-01-09,"23:54:00","D5","PX",972
2025-01-09,"03:07:00","D5","PN",964
2025-01-09,NA,"D5","PPT",0
2025-01-09,NA,"D5","RS24h",9.3
2025-01-09,NA,"D5","VVM10",4.2
2025-01-09,NA,"D5","DVM10",272
2025-01-09,"16:33:00","D5","VVX10",13.6
2025-01-09,"16:33:00","D5","DVVX10",327
2025-01-09,NA,"X4","TM",16.5
2025-01-09,"14:38:00","X4","TX",19.5
2025-01-09,"23:56:00","X4","TN",13.2
2025-01-09,NA,"X4","HRM",46
2025-01-09,"23:56:00","X4","HRX",59
2025-01-09,"13:55:00","X4","HRN",37
2025-01-09,NA,"X4","PM",1011.5
2025-01-09,"23:39:00","X4","PX",1016.3
2025-01-09,"00:40:00","X4","PN",1008.5
2025-01-09,NA,"X4","PPT",0
2025-01-09,NA,"X4","RS24h",9.7
2025-01-09,NA,"X4","VVM10",3.7
2025-01-09,NA,"X4","DVM10",295
2025-01-09,"12:09:00","X4","VVX10",17.9
2025-01-09,"12:09:00","X4","DVVX10",303
2025-01-09,NA,"X8","TM",15.5
2025-01-09,"14:36:00","X8","TX",18.9
2025-01-09,"07:32:00","X8","TN",12.1
